"umap_1","umap_2","cell_types","cellID"
-2.49519017505426,-2.46238274164972,"Pericytes","sample_2d_r1_s1-cell_100"
-4.39619687366266,8.33400922230902,"Cardiomyocytes","sample_2d_r1_s1-cell_101"
-2.5681078748681,-0.479027457912541,"Cardiomyocytes","sample_2d_r1_s1-cell_102"
3.21812769603949,-9.58941645212946,"Myeloid cells","sample_2d_r1_s1-cell_103"
6.6476645154975,-4.72208160944758,"Myeloid cells","sample_2d_r1_s1-cell_105"
0.792050568582827,8.076329283039,"Cardiomyocytes","sample_2d_r1_s1-cell_106"
2.49275681209784,-0.935728617389775,"Endothelial cells","sample_2d_r1_s1-cell_107"
-3.7794001417138,4.00282435826483,"Cardiomyocytes","sample_2d_r1_s1-cell_109"
4.9158005399726,-6.76008934565363,"Myeloid cells","sample_2d_r1_s1-cell_113"
9.49046036434394,-5.63805718012629,"Myeloid cells","sample_2d_r1_s1-cell_114"
2.92421170902472,-2.23060030527887,"Endothelial cells","sample_2d_r1_s1-cell_115"
-2.80305054950494,3.12106542996588,"Cardiomyocytes","sample_2d_r1_s1-cell_116"
4.43520065975409,-7.26323408671198,"Myeloid cells","sample_2d_r1_s1-cell_117"
0.652444569589907,-10.5953292328912,"Cardiac fibroblasts","sample_2d_r1_s1-cell_118"
0.191377079310232,4.46195798329534,"Cardiomyocytes","sample_2d_r1_s1-cell_122"
-3.01534941959161,-10.104449220379,"Cardiac fibroblasts","sample_2d_r1_s1-cell_123"
-4.21959689426202,-2.68172998019037,"Smooth muscle cells","sample_2d_r1_s1-cell_124"
1.88331433963996,-1.97771615572748,"Endothelial cells","sample_2d_r1_s1-cell_125"
3.87981960010748,-9.11844439097223,"Myeloid cells","sample_2d_r1_s1-cell_126"
5.66101261806708,-6.41304869242487,"Myeloid cells","sample_2d_r1_s1-cell_128"
4.67198988628607,-6.99697441645441,"Myeloid cells","sample_2d_r1_s1-cell_129"
9.49748226833563,-4.89809937067804,"Myeloid cells","sample_2d_r1_s1-cell_130"
9.40962597561102,-6.03113693781672,"Myeloid cells","sample_2d_r1_s1-cell_131"
2.26086875629645,-4.69620747156916,"Myeloid cells","sample_2d_r1_s1-cell_133"
-2.69304421710748,-1.88154453821955,"Pericytes","sample_2d_r1_s1-cell_134"
5.2283382101081,-6.42141336985407,"Myeloid cells","sample_2d_r1_s1-cell_135"
-1.63818457889337,-9.73027796335993,"Cardiac fibroblasts","sample_2d_r1_s1-cell_138"
-2.69971063899774,-1.84482998438654,"Pericytes","sample_2d_r1_s1-cell_140"
9.88657376003485,-5.60396475382624,"Myeloid cells","sample_2d_r1_s1-cell_141"
7.1477489156745,-6.23294825144587,"Myeloid cells","sample_2d_r1_s1-cell_142"
2.82709500026923,-5.71483845301447,"Myeloid cells","sample_2d_r1_s1-cell_143"
-2.46669224071283,2.62481503895941,"Cardiomyocytes","sample_2d_r1_s1-cell_145"
3.76974364948493,-9.26053423472223,"Myeloid cells","sample_2d_r1_s1-cell_147"
3.77371045780402,-9.0180196244317,"Myeloid cells","sample_2d_r1_s1-cell_148"
6.67684742641669,-6.74584765024958,"Myeloid cells","sample_2d_r1_s1-cell_149"
-2.79428866672296,-9.33667368479547,"Cardiac fibroblasts","sample_2d_r1_s1-cell_151"
5.6220616979621,-6.99123711176691,"Myeloid cells","sample_2d_r1_s1-cell_152"
-0.0765678899266187,4.72750525883856,"Cardiomyocytes","sample_2d_r1_s1-cell_153"
-4.10437014865655,4.09532480649176,"Cardiomyocytes","sample_2d_r1_s1-cell_157"
1.54227599334937,-1.38733441420374,"Endothelial cells","sample_2d_r1_s1-cell_158"
-2.34879973697442,-1.85814375468073,"Pericytes","sample_2d_r1_s1-cell_160"
0.664874999048525,5.80754332951727,"Cardiomyocytes","sample_2d_r1_s1-cell_161"
4.34805628490668,-0.24301935025034,"Endothelial cells","sample_2d_r1_s1-cell_163"
-4.70382884311456,-3.76863426752863,"Smooth muscle cells","sample_2d_r1_s1-cell_164"
-1.76196530627984,-5.47205872126398,"Myeloid cells","sample_2d_r1_s1-cell_166"
-5.06865123080987,5.73752789906683,"Cardiomyocytes","sample_2d_r1_s1-cell_167"
9.04444405269843,-5.94615215845881,"Myeloid cells","sample_2d_r1_s1-cell_168"
2.79359337520819,-5.68805641718683,"Myeloid cells","sample_2d_r1_s1-cell_169"
-1.04971030521173,-8.91524500437555,"Cardiac fibroblasts","sample_2d_r1_s1-cell_170"
6.38083550167304,-6.27117437907038,"Myeloid cells","sample_2d_r1_s1-cell_171"
9.91248509121161,-4.81532902308283,"Myeloid cells","sample_2d_r1_s1-cell_173"
5.59960743618231,-1.09470684119043,"Endothelial cells","sample_2d_r1_s1-cell_175"
-4.80265143680353,5.81844954899969,"Cardiomyocytes","sample_2d_r1_s1-cell_176"
-2.78595355319757,6.32526545933905,"Cardiomyocytes","sample_2d_r1_s1-cell_177"
9.36414906215888,-5.86160177775202,"Myeloid cells","sample_2d_r1_s1-cell_179"
1.26466509533148,-1.71535677500544,"Endothelial cells","sample_2d_r1_s1-cell_182"
-3.69818642902154,5.7129145186347,"Cardiomyocytes","sample_2d_r1_s1-cell_183"
0.920642463686281,-1.05582530089197,"Endothelial cells","sample_2d_r1_s1-cell_191"
10.2080697698615,-6.72128052302179,"Myeloid cells","sample_2d_r1_s1-cell_192"
2.68458863926154,-6.10171026774225,"Myeloid cells","sample_2d_r1_s1-cell_196"
5.73726460170966,-6.71004862376032,"Myeloid cells","sample_2d_r1_s1-cell_197"
0.933781830789858,-1.45448166914759,"Endothelial cells","sample_2d_r1_s1-cell_199"
0.339469386460596,-10.4344815690118,"Cardiac fibroblasts","sample_2d_r1_s1-cell_201"
1.16877683830481,-0.194887109478093,"Endothelial cells","sample_2d_r1_s1-cell_206"
