"cellID","X_centroid","Y_centroid","anno_cell_type_lvl2"
"sample_2d_r2_s1-cell_136",7178.11164179104,24057.0270999454,"Myeloid cells"
"sample_2d_r2_s1-cell_138",7894.22290076336,24020.2088686374,"Myeloid cells"
"sample_2d_r2_s1-cell_140",7231.03205928237,24011.1744798944,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_143",7525.1444082519,23974.2479168011,"Myeloid cells"
"sample_2d_r2_s1-cell_146",7113.50230801511,23978.1110685623,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_149",7271.49594283638,23951.5288507048,"Endothelial cells"
"sample_2d_r2_s1-cell_151",7905.32942430704,23983.5277467116,"Myeloid cells"
"sample_2d_r2_s1-cell_154",7642.21142339075,23935.2511394938,"Myeloid cells"
"sample_2d_r2_s1-cell_159",7181.53919603914,23905.8242330117,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_161",7077.33740388964,23921.9251913068,"Myeloid cells"
"sample_2d_r2_s1-cell_162",7751.32820072095,23846.7470825149,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_166",7034.60642112125,23877.0842957785,"Myeloid cells"
"sample_2d_r2_s1-cell_167",8382.97058823529,23913.5345822817,"Smooth muscle cells"
"sample_2d_r2_s1-cell_172",8183.73027290036,23873.0122774638,"Myeloid cells"
"sample_2d_r2_s1-cell_174",8281.46570972887,23866.7146547891,"Smooth muscle cells"
"sample_2d_r2_s1-cell_176",7220.75909616582,23819.4687273568,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_180",8151.59845081332,23767.6092136989,"Smooth muscle cells"
"sample_2d_r2_s1-cell_182",7155.53486997636,23796.6648890143,"Endothelial cells"
"sample_2d_r2_s1-cell_183",8112.65553789083,23789.693735132,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_185",6991.97577016269,23783.7952035603,"Endothelial cells"
"sample_2d_r2_s1-cell_186",6951.36864085042,23796.6926142872,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_187",7021.51649175412,23739.6574294715,"Myeloid cells"
"sample_2d_r2_s1-cell_189",7210.82396715422,23703.1697072323,"Myeloid cells"
"sample_2d_r2_s1-cell_194",6940.39909125331,23746.4199333551,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_195",7116.96506127714,23713.9765243778,"Endothelial cells"
"sample_2d_r2_s1-cell_197",6896.5791118054,23717.1257866947,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_203",6969.04979343336,23646.5058292279,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_205",8113.15289525049,23678.3615356395,"Smooth muscle cells"
"sample_2d_r2_s1-cell_210",8073.04357668365,23651.1990696386,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_211",8097.92231170062,23626.3377133399,"Smooth muscle cells"
"sample_2d_r2_s1-cell_213",7077.1665748393,23619.4260890221,"Endothelial cells"
"sample_2d_r2_s1-cell_214",8127.02606837607,23603.6209537533,"Smooth muscle cells"
"sample_2d_r2_s1-cell_222",6864.00174418605,23542.7155721195,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_223",6507.96207532262,23546.4941174521,"Myeloid cells"
"sample_2d_r2_s1-cell_226",8080.4687267312,23531.5737536464,"Smooth muscle cells"
"sample_2d_r2_s1-cell_230",8114.64712732919,23521.9417114377,"Smooth muscle cells"
"sample_2d_r2_s1-cell_234",7055.0271420063,23462.2039370396,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_237",8001.71543821049,23505.602982469,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_238",8055.95666332665,23472.2935245359,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_239",6521.96199550369,23465.1450537371,"Myeloid cells"
"sample_2d_r2_s1-cell_241",6919.39920856611,23479.6509852674,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_243",6971.27554179567,23482.0388945329,"Pericytes"
"sample_2d_r2_s1-cell_246",7960.72337278106,23428.737916278,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_249",6906.20929870938,23366.6516627789,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_251",6455.53890041494,23434.7006271228,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_252",7992.02904564315,23378.5654711865,"Myeloid cells"
"sample_2d_r2_s1-cell_254",8088.77359836901,23362.532080547,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_266",7074.27658159448,23314.0880341637,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_267",7216.20441470001,23333.4459905575,"Endothelial cells"
"sample_2d_r2_s1-cell_273",8322.3692077728,23336.9213504418,"Endothelial cells"
"sample_2d_r2_s1-cell_275",8210.95974329055,23307.7987415043,"Smooth muscle cells"
"sample_2d_r2_s1-cell_276",8062.34895666132,23312.9054868233,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_282",6789.60310793784,23280.1345076361,"Endothelial cells"
"sample_2d_r2_s1-cell_284",8162.15553091211,23281.7935575934,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_286",8276.29693018202,23273.137236954,"Smooth muscle cells"
"sample_2d_r2_s1-cell_288",6529.13080528334,23238.0785384496,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_296",7035.08036328609,23215.9809326534,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_297",8345.08062977099,23259.430133632,"Smooth muscle cells"
"sample_2d_r2_s1-cell_298",8217.11379424413,23237.1791469219,"Pericytes"
"sample_2d_r2_s1-cell_300",6962.38315908449,23231.9721097368,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_304",6244.76607717042,23229.3869154979,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_306",8252.10842105263,23243.2147459261,"Smooth muscle cells"
"sample_2d_r2_s1-cell_309",8364.66718946048,23213.7717821804,"Smooth muscle cells"
"sample_2d_r2_s1-cell_313",8322.95340167754,23209.0509798006,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_314",8174.25829875519,23210.3147350067,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_317",8409.77414965986,23201.4398443865,"Pericytes"
"sample_2d_r2_s1-cell_318",8241.92237661715,23200.4403202836,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_320",6189.24963574551,23177.8738011649,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_322",6951.31418383518,23185.0352980989,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_323",6507.88806765215,23138.5044607244,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_324",6813.19251336898,23172.043696109,"Endothelial cells"
"sample_2d_r2_s1-cell_326",6870.69451931716,23170.5835358253,"Endothelial cells"
"sample_2d_r2_s1-cell_340",6887.85004599816,23130.9816901957,"Myeloid cells"
"sample_2d_r2_s1-cell_344",7389.49328036514,22976.7431752531,"Myeloid cells"
"sample_2d_r2_s1-cell_370",6896.86445086705,23013.375348299,"Endothelial cells"
"sample_2d_r2_s1-cell_375",6555.33720147999,22987.7671438229,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_376",6803.4683177153,22987.3306798371,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_390",6920.33621566633,22929.0112764181,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_397",6480.11229508197,22922.2769331564,"Endothelial cells"
"sample_2d_r2_s1-cell_406",7561.80787758572,22888.1719262813,"Myeloid cells"
"sample_2d_r2_s1-cell_411",6840.43468045113,22885.3186932945,"Endothelial cells"
"sample_2d_r2_s1-cell_416",6878.76325656133,22865.4764012696,"Pericytes"
"sample_2d_r2_s1-cell_417",7738.84308300395,22838.2269104778,"Myeloid cells"
"sample_2d_r2_s1-cell_427",6830.06485002112,22824.4414308259,"Pericytes"
"sample_2d_r2_s1-cell_429",6617.52054361568,22827.8636147796,"Endothelial cells"
"sample_2d_r2_s1-cell_430",5826.13384407391,22802.1224663312,"Myeloid cells"
"sample_2d_r2_s1-cell_434",7521.8366462553,22757.709653827,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_442",6364.9076198882,22740.9856831986,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_444",6451.53901946383,22731.8447505649,"Myeloid cells"
"sample_2d_r2_s1-cell_446",5765.15230037017,22740.759601057,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_447",6030.81942327433,22646.6540235537,"Myeloid cells"
"sample_2d_r2_s1-cell_449",7028.15608974359,22695.8682293944,"Myeloid cells"
"sample_2d_r2_s1-cell_450",6299.28328932478,22738.4166776698,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_453",5841.412740479,22679.3759717232,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_462",6202.12914146179,22596.3251291181,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_467",5686.19554888722,22672.8690792462,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_468",6399.73984771574,22691.1491100725,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_470",6348.63796240146,22691.0563054039,"Pericytes"
"sample_2d_r2_s1-cell_471",7163.70847231488,22643.8160906822,"Myeloid cells"
"sample_2d_r2_s1-cell_475",5728.70352941176,22634.5765710772,"Myeloid cells"
"sample_2d_r2_s1-cell_480",8396.72822370327,22544.8339013196,"Myeloid cells"
"sample_2d_r2_s1-cell_484",6617.22141494202,22602.2672137314,"Endothelial cells"
"sample_2d_r2_s1-cell_486",5606.13072457536,22603.6683110903,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_489",7168.73214804767,22542.3886891894,"Pericytes"
"sample_2d_r2_s1-cell_492",7043.76837185147,22556.7710552921,"Cardiac fibroblasts"
"sample_2d_r2_s1-cell_493",6073.59256559767,22589.8041543962,"Endothelial cells"
"sample_2d_r2_s1-cell_496",5643.75457570715,22567.6351651105,"Endothelial cells"
