fov,lumen_bin,total_count,mono_count,mono_percentage,timepoint,endothelial_count,endothelial_percentage,endocardial_count,endocardial_percentage,area_px,area_um,mono_per_um2,mono_per_mm2,endothelial_per_um2,endothelial_per_mm2,endocardial_per_um2,endocardial_per_mm2
24h_83,1,2085,543.0,0.260431654676259,24h,21,0.010071942446043165,663.0,0.31798561151079136,5648123,298785.70670000004,0.001817356010758596,1817.356010758596,7.028448660392361e-05,70.28448660392361,0.0022189816484953022,2218.981648495302
24h_83,2,1579,323.0,0.2045598480050665,24h,143,0.09056364787840405,12.0,0.007599746675110829,5281897,279412.35130000004,0.0011559975731108632,1155.9975731108632,0.0005117883992410324,511.7883992410324,4.294727825798873e-05,42.94727825798873
24h_83,3,1429,210.0,0.1469559132260322,24h,187,0.13086074177746676,4.0,0.0027991602519244225,5126780,271206.66200000007,0.0007743172621622398,774.3172621622398,0.0006895110858301849,689.5110858301849,1.4748900231661709e-05,14.74890023166171
24h_83,4,1368,154.0,0.11257309941520467,24h,168,0.12280701754385964,1.0,0.0007309941520467836,4852972,256722.21880000003,0.0005998701659710023,599.8701659710023,0.0006544038174229117,654.4038174229117,3.895260817993522e-06,3.8952608179935218
24h_86,1,1659,221.0,0.13321277878239904,24h,18,0.0108499095840868,621.0,0.3743218806509946,6257968,331046.50720000005,0.0006675799176050028,667.5799176050028,5.437302496330339e-05,54.37302496330339,0.001875869361233967,1875.869361233967
24h_86,2,1552,144.0,0.09278350515463918,24h,87,0.05605670103092784,30.0,0.019329896907216496,6359041,336393.2689,0.0004280703965060818,428.0703965060818,0.0002586258645557577,258.62586455575774,8.91813326054337e-05,89.1813326054337
24h_86,3,1464,120.0,0.08196721311475409,24h,88,0.060109289617486336,8.0,0.00546448087431694,6272115,331794.8835,0.0003616692298993815,361.6692298993815,0.0002652241019262131,265.2241019262131,2.41112819932921e-05,24.1112819932921
24h_86,4,1419,87.0,0.0613107822410148,24h,96,0.06765327695560254,5.0,0.0035236081747709656,6111623,323304.8567,0.00026909586477610127,269.0958647761013,0.00029693336802880143,296.93336802880145,1.5465279584833405e-05,15.465279584833405
48h_76,1,1964,202.0,0.10285132382892057,48h,67,0.03411405295315682,568.0,0.2892057026476578,6817743,360658.6047,0.0005600864567421757,560.0864567421756,0.00018577125050359293,185.77125050359294,0.0015748965714334445,1574.8965714334445
48h_76,2,1892,132.0,0.06976744186046512,48h,230,0.12156448202959831,4.0,0.0021141649048625794,6556718,346850.38220000005,0.00038056754950867105,380.56754950867105,0.0006631101241438965,663.1101241438965,1.1532349985111244e-05,11.532349985111244
48h_76,3,1741,174.0,0.09994256174612291,48h,288,0.16542217116599656,3.0,0.0017231476163124641,6181619,327007.6451,0.0005320976515603794,532.0976515603794,0.0008807133543068347,880.7133543068347,9.174097440696195e-06,9.174097440696196
48h_76,4,1676,211.0,0.12589498806682578,48h,245,0.14618138424821003,1.0,0.0005966587112171838,5955106,315025.10740000004,0.0006697878837069479,669.7878837069479,0.0007777157891383993,777.7157891383993,3.174350159748568e-06,3.174350159748568
48h_79,1,1843,189.0,0.10255018990775909,48h,72,0.03906673901247965,626.0,0.33966359196961476,7630284,403642.0236,0.00046823667742607164,468.23667742607165,0.00017837587711469396,178.37587711469396,0.0015508791538027557,1550.8791538027558
48h_79,2,1854,197.0,0.10625674217907227,48h,316,0.1704422869471413,6.0,0.003236245954692557,7308098,386598.38420000003,0.0005095727453896585,509.57274538965856,0.0008173857235691985,817.3857235691985,1.5519982093086046e-05,15.519982093086046
48h_79,3,1653,198.0,0.11978221415607986,48h,378,0.22867513611615245,4.0,0.0024198427102238356,7071007,374056.27030000003,0.0005293321238571949,529.3321238571949,0.001010543145545554,1010.5431455455539,1.0693578259741312e-05,10.693578259741312
48h_79,4,1621,202.0,0.12461443553362123,48h,414,0.2553979025293029,1.0,0.0006169031462060457,6923775,366267.6975,0.0005515091868018199,551.50918680182,0.001130320808593829,1130.320808593829,2.730243499018911e-06,2.730243499018911
4h_96,1,1499,70.0,0.0466977985323549,4h,19,0.012675116744496331,431.0,0.2875250166777852,4323885,228733.51650000003,0.00030603298139737203,306.03298139737205,8.306609495071527e-05,83.06609495071527,0.0018842887854609621,1884.2887854609621
4h_96,2,1304,7.0,0.005368098159509203,4h,121,0.09279141104294479,8.0,0.006134969325153374,4135652,218775.99080000003,3.199619836894826e-05,31.996198368948257,0.0005530771432346771,553.077143234677,3.656708385022658e-05,36.56708385022658
