final_cell_type,region_name,timepoint,mean_count,se_count
Mono / Macros Ccr2+,Border zone,Control,12.092840507485425,7.140162932940596
Mono / Macros Ccr2+,Border zone,4h,62.86251337038672,11.379107577751908
Mono / Macros Ccr2+,Border zone,24h,312.5536830672868,99.12464448283706
Mono / Macros Ccr2+,Border zone,48h,807.0038651889871,96.63336075015285
Mono / Macros Ccr2+,"Near-Infarct
Epicardial Region",Control,19.16088556764815,7.095269209939924
Mono / Macros Ccr2+,"Near-Infarct
Epicardial Region",4h,41.04963839837396,21.85681080410873
Mono / Macros Ccr2+,"Near-Infarct
Epicardial Region",24h,370.21265020572287,134.1479172900699
Mono / Macros Ccr2+,"Near-Infarct
Epicardial Region",48h,798.5960711261203,66.98623906984238
Neutrophils,All,Control,1.0895489177815476,0.7556340177979244
Neutrophils,All,4h,67.92240369552218,29.259450222630143
Neutrophils,All,24h,148.0044039621702,35.57359995893058
Neutrophils,All,48h,118.267883680665,35.77401073373927
Neutrophils,"Near-Infarct
Endocardial Region",Control,4.096452405649356,0.0
Neutrophils,"Near-Infarct
Endocardial Region",4h,213.90725468503933,2.030143163075408
Neutrophils,"Near-Infarct
Endocardial Region",24h,338.2658780215104,13.06302839779309
Neutrophils,"Near-Infarct
Endocardial Region",48h,88.58911775995483,10.184605283179968
Neutrophils,"Remote
Endocardial Region",Control,4.096452405649356,0.0
Neutrophils,"Remote
Endocardial Region",4h,0.0,0.0
Neutrophils,"Remote
Endocardial Region",24h,19.264276735742975,0.0
Neutrophils,"Remote
Endocardial Region",48h,0.0,0.0
Neutrophils,Infarct Core,Control,1.3447734560432882,0.9547020633410342
Neutrophils,Infarct Core,4h,79.65052192693477,51.623873762433846
Neutrophils,Infarct Core,24h,393.5053948812221,22.665045772890664
Neutrophils,Infarct Core,48h,312.8583496798767,45.40052738507583
Neutrophils,Border zone,Control,0.4829253482914923,0.0
Neutrophils,Border zone,4h,142.17652274246024,55.68440101083376
Neutrophils,Border zone,24h,232.10868603093866,15.307940675802469
Neutrophils,Border zone,48h,228.4268946475872,6.837563652387502
Neutrophils,"Near-Infarct
Epicardial Region",Control,9.252228359570022,0.0
Neutrophils,"Near-Infarct
Epicardial Region",4h,98.85299160390136,0.0
Neutrophils,"Near-Infarct
Epicardial Region",24h,585.203379426466,124.05366861449264
Neutrophils,"Near-Infarct
Epicardial Region",48h,401.42259901198247,152.3639327800581
Other Leukocytes,All,Control,2.2731086818964017,1.1712733858154387
Other Leukocytes,All,4h,11.628965566084105,2.451986624660521
Other Leukocytes,All,24h,7.782567171138935,3.453981217014211
Other Leukocytes,All,48h,43.31854895635716,2.712095477937158
Other Leukocytes,"Near-Infarct
Endocardial Region",Control,7.306531963632892,3.210079557983535
Other Leukocytes,"Near-Infarct
Endocardial Region",4h,15.343452174028855,3.671160398455086
Other Leukocytes,"Near-Infarct
Endocardial Region",24h,21.339755170321542,17.52096270924216
Other Leukocytes,"Near-Infarct
Endocardial Region",48h,93.37418742267835,24.232581292483964
Other Leukocytes,"Remote
Endocardial Region",Control,7.306531963632892,3.210079557983535
Other Leukocytes,"Remote
Endocardial Region",4h,5.691624268334585,0.0
Other Leukocytes,"Remote
Endocardial Region",24h,4.816069183935744,0.0
Other Leukocytes,"Remote
Endocardial Region",48h,15.031363936768699,0.033179496991504465
Other Leukocytes,Infarct Core,Control,2.2942177423336494,1.3050053622278897
Other Leukocytes,Infarct Core,4h,10.794557605293933,3.416137238678368
Other Leukocytes,Infarct Core,24h,6.688953604648987,4.517121399036503
Other Leukocytes,Infarct Core,48h,76.77024090138102,22.430303843207003
Other Leukocytes,Border zone,Control,3.1857208628058653,1.6077381120315477
Other Leukocytes,Border zone,4h,25.08642694063486,1.2730768251941633
Other Leukocytes,Border zone,24h,12.853096923159676,4.761000673512291
Other Leukocytes,Border zone,48h,90.66648992673126,20.636407981408034
Other Leukocytes,"Near-Infarct
Epicardial Region",Control,11.571487452362364,6.95608593897486
Other Leukocytes,"Near-Infarct
Epicardial Region",4h,42.67571358978182,27.697987589190703
Other Leukocytes,"Near-Infarct
Epicardial Region",24h,9.43019444322723,1.549560576105467
Other Leukocytes,"Near-Infarct
Epicardial Region",48h,48.18229912385776,6.2992841143756975
Smooth muscle cells,All,Control,52.57532279558226,16.631232742167498
Smooth muscle cells,All,4h,63.389091282196596,8.49724375895483
Smooth muscle cells,All,24h,60.00856127177526,9.414699470317435
Smooth muscle cells,All,48h,64.65702334368119,0.49512216273895143
Smooth muscle cells,"Near-Infarct
Endocardial Region",Control,24.560949776901666,14.044338255285238
Smooth muscle cells,"Near-Infarct
Endocardial Region",4h,10.112405444000608,7.396032219360044
Smooth muscle cells,"Near-Infarct
Endocardial Region",24h,6.886743872623887,0.7508410495348826
Smooth muscle cells,"Near-Infarct
Endocardial Region",48h,10.284448366482298,0.4070760621688185
Smooth muscle cells,"Remote
Endocardial Region",Control,24.560949776901666,14.044338255285238
Smooth muscle cells,"Remote
Endocardial Region",4h,7.211916831115493,1.520292562780908
Smooth muscle cells,"Remote
Endocardial Region",24h,31.644458040308997,2.7480429366945387
Smooth muscle cells,"Remote
Endocardial Region",48h,30.062727873537398,0.0663589939830107
Smooth muscle cells,Infarct Core,Control,54.825635030600445,16.22033441249202
Smooth muscle cells,Infarct Core,4h,77.48964445836923,3.672979574401992
Smooth muscle cells,Infarct Core,24h,51.63386274524947,4.396512273177971
Smooth muscle cells,Infarct Core,48h,60.40593660527396,0.666382035328688
Smooth muscle cells,Border zone,Control,61.89089756853614,22.86186363414752
Smooth muscle cells,Border zone,4h,53.874111131097024,24.219669394539366
Smooth muscle cells,Border zone,24h,77.73448728554231,34.91381129782491
Smooth muscle cells,Border zone,48h,40.4434066644578,0.29304623184133405
Smooth muscle cells,"Near-Infarct
Epicardial Region",Control,44.075802199680155,28.850439834495262
Smooth muscle cells,"Near-Infarct
Epicardial Region",4h,48.131982600817565,41.73437340272915
Smooth muscle cells,"Near-Infarct
Epicardial Region",24h,71.21347170817641,27.294451630845625
Smooth muscle cells,"Near-Infarct
Epicardial Region",48h,22.506214997421402,14.723131677673765
