index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,rectangle,0,1.0,12257.926325001601,1403.7390936839633
0,rectangle,1,1.0,12257.926325001601,2603.416218062285
0,rectangle,2,1.0,14397.64895728831,2603.416218062285
0,rectangle,3,1.0,14397.64895728831,1403.7390936839633
