index,shape-type,vertex-index,axis-0,axis-1
0,rectangle,0,1655.553933,3767.428581
0,rectangle,1,1655.553933,27715.09642
0,rectangle,2,25603.22177,27715.09642
0,rectangle,3,25603.22177,3767.428581
