index,shape-type,vertex-index,axis-0,axis-1
0,rectangle,0,528.4999103,34.58707401
0,rectangle,1,528.4999103,24930.61454
0,rectangle,2,25424.52738,24930.61454
0,rectangle,3,25424.52738,34.58707401
