index,shape-type,vertex-index,axis-0,axis-1
0,rectangle,0,4985.693457109299,9227.109654331136
0,rectangle,1,4985.693457109061,9932.826175446029
0,rectangle,2,5643.909827764171,9932.826175445636
0,rectangle,3,5643.90982776441,9227.109654330745
