Chil3
Coro1a
Serpine1
Lcp1
Hmgb2
S100a9
Lcp1;Pls3
Gda
Ltf
Lyz2
Capg
Mmp9
Fbln1
Reln
Myh7
Myh1;Myh2;Myh4;Myh7;Myh8
Myh4;Myh7
Cyria;Cyrib
Myh13;Myh4
Cd44
Thbs1
Arpc5
Cd74
S100a4
Thbd
Actb;Actg1
G6pdx
Rac2
Myh3;Myh7
Hspa1a;Hspa1b;Hspa1l;Hspa2
Fga
Anxa1
Mpo
Fn1
Cap1
Tkt
Rcc2
Flna;Flnb;Flnc
Fgb
Fgg
Ddx39a
Myh2;Myh7
Cygb
Arpc1b
Prg4
Tns1
Rbm3
Ncl
Ifi204;Ifi207;Mnda
Itgb2
Msn
Ptpn6
Camp
Actr2
Elane
Lcp1;Pls1;Pls3
Arhgdib
Hspa1a;Hspa1b;Hspa1l
Npm1
Actb;Actbl2;Actg1
F13a1
Cemip;Cemip2
Spon1
Glipr2
Klhl40
Arpc1a;Arpc1b
Hnrnpf
Fmnl1;Fmnl2
Lsp1
Ncf1
Mybbp1a
Ngp
Cfl1
Fcer1g
Mff
Snu13
