tissue_area	spot_count	sample	spots_per_um2
2544750.061094025	937163.0	sample_2d_r1_s1	0.3682731024661416
3206323.224375192	2131650.0	sample_4h_r2_s2	0.6648269219380991
2627426.9879593914	5556662.0	sample_control_r1_s1	2.1148682819596134
1311904.3564787593	1209210.0	sample_4d_r1_s2	0.9217211559885372
3138267.621695074	3031612.0	sample_4h_r1_s1	0.9660144912569738
2435890.3432071996	4625569.0	sample_control_r2_s1	1.8989233291634031
2561840.7511601113	1217988.0	sample_4d_r2_s1	0.47543470430331897
2346302.621538576	1054787.0	sample_2d_r2_s1	0.4495528370114204
