PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	time	replicate	slide	label
-6.03512633922961	-0.503038221113194	-0.47511094316476	0.689907309300911	-0.243899450939942	1.1705174366948	-0.539317164514449	-2.38293226603363	0.910746409306803	-2.59066800748569	0.6619559421558	-0.101306288111693	0.440314095603382	-0.079283107300895	-0.690317503724337	2.31102899734098e-16	2d	r1	Slide 1	sample_2d_r1_s1
-4.79264346386077	4.2152768927039	-2.84632880528653	4.77622929472187	-0.918316236328952	1.29707813888611	0.491976374695715	-0.221308899565421	-0.948159953985705	1.50754880822174	2.08090700996169	0.838569025191794	-0.261967890265852	-0.131394826380285	-0.0663925839740411	5.59737559299547e-16	2d	r1	Slide 2	sample_2d_r1_s2
-4.8577206354961	-3.5949084917671	1.10507637188822	0.0735878588840341	-1.29299544883246	-1.76813135262989	-1.56269806542031	-0.320013455093722	1.00481165955396	-0.627386705475784	0.698658258949138	0.415236708854771	-0.392425527911421	0.251169710374164	1.42167092641226	3.56375151708838e-16	2d	r2	Slide 1	sample_2d_r2_s1
-5.15355699321356	1.91714796717535	-2.97495759607018	4.22303126301087	-2.86219925785915	-1.58744331743066	-0.589080116701482	-0.115456569876295	0.0835147017276461	0.458228030293031	-2.46240870372857	-0.6295779868083	0.0214682808344791	0.0894325066387098	-0.204712976603595	5.40967880630455e-16	2d	r2	Slide 2	sample_2d_r2_s2
-1.92968196730848	16.4846790766664	1.27231804612215	-3.9879439006856	0.106415907112629	-1.74405293426946	-0.186680315712703	0.885346792281322	-0.0253316002188498	-0.335089857644611	0.274635997876077	0.00840043555128379	0.113341754785286	0.0572959719807232	-0.0896108756009947	-2.5762016440118e-16	4d	r1	Slide 1	sample_4d_r1_s1
-5.7955105383155	0.185938941516974	1.48848848288322	0.056311580717787	5.632861394328	-0.00920645162254423	-0.163883720863619	-2.14934011319352	-0.54895965453804	1.0260978788	-1.06492166820403	0.194514121052681	-0.187360655873896	0.012368048762013	0.171531716886454	9.06172930492111e-16	4d	r1	Slide 2	sample_4d_r1_s2
-6.33457835120814	-2.47384541750243	4.12075296733701	-4.28584443411216	-3.00397235169928	3.31528356076153	-0.0879348595222692	0.0285402433410782	-1.59444110728574	0.615091035709955	-0.660178431848696	-0.0301769775191956	0.0944676360704545	0.0251536374946737	0.0742766951289983	-1.24666466136364e-15	4d	r2	Slide 1	sample_4d_r2_s1
-6.18110827294611	-1.14110772951017	1.1826514615949	1.79757921860911	1.73188421657996	1.59096061773979	2.41948991068805	2.9066019577435	2.15592995860617	-0.261893014559975	-0.0582447335238399	-0.767448717242712	0.118480760358588	-0.00835668996004423	0.140343731708141	6.560074031603e-16	4d	r2	Slide 2	sample_4d_r2_s2
4.57297260766197	-1.50713036222645	-6.89284039515999	-4.9057631469555	0.0781209179129179	1.38372478990117	-0.96387056068483	-0.195245735226683	2.15800621653324	0.960567601694551	-0.213087296787593	0.336129203244071	-0.159162088122597	-0.149754516750262	-0.0489837032537552	-2.03232270736525e-15	4h	r1	Slide 1	sample_4h_r1_s1
2.53438431961911	-3.13203600684706	-3.34939757536336	-1.54897191037221	0.469867095377824	-0.649715483152388	1.82828029420203	0.218184587931943	-1.85592961893808	-0.843859625759289	0.278582434170734	-0.57669631612962	-1.10451899957363	1.18930944420308	-0.103470533619654	6.04427627688428e-16	4h	r1	Slide 2	sample_4h_r1_s2
-3.39303513328806	-8.10060912617523	2.11572000343212	-1.20745933133533	0.208524659636612	-2.85732552109999	-0.694186383213427	1.61832067405878	0.027280853370049	0.415694437886196	0.324898219560232	1.29566925231322	0.0838359748444586	-0.0800943899906352	-0.934791247141615	5.878393344494e-16	4h	r2	Slide 1	sample_4h_r2_s1
2.27184291133726	-3.03422304407592	-3.13625938379341	-1.0262720213212	0.44400436894738	-1.19466544223231	1.34975513642807	0.256601679619854	-1.91438458255714	-0.487841609380205	0.142904050495904	-0.399866754092036	1.51925116361249	-0.988612637318335	0.464061250240469	-7.14104554238765e-16	4h	r2	Slide 2	sample_4h_r2_s2
11.1558350813352	1.06302273132035	3.11306435717888	0.958268042494339	-1.46469622332893	-0.287662324655848	3.11734423939519	-1.5969116406924	1.09475735411146	0.147655414090687	-0.587892810809496	1.2308753521625	0.295611279085927	0.195063365311073	0.0876445549415646	-4.73812618124028e-16	control	r1	Slide 1	sample_control_r1_s1
8.55262996268656	-0.414362202373234	1.64944574784627	1.86931320856561	0.714005988060213	0.639803200831159	-2.37847594546352	0.403763862800415	0.00129995095588549	0.642363518929277	0.560540057765582	-0.807932311388565	1.46662875752204	0.969323017201383	-0.0675581113021552	-2.93839812615047e-17	control	r1	Slide 2	sample_control_r1_s2
6.01374009974211	-1.59027004381087	3.12526812575332	-0.0259035396538301	-0.671208264178572	-1.02261774381215	-0.180713813750672	-0.951665704064476	0.459094954685945	0.751474726789035	0.870560935712134	-1.85473495693973	-1.1260784389001	-0.806479676992308	-0.246134782331684	6.78999798272953e-16	control	r2	Slide 1	sample_control_r2_s1
9.37155671248415	1.62546503601869	0.502109134802129	2.54393050813131	1.07160268521176	1.72345282609068	-1.86000500956178	1.61551458596926	-1.0082355413276	-1.37798263210892	-0.846909261745064	0.848346209861532	-0.921886102069609	-0.54513985727306	0.0924434422339397	-7.78348372865136e-17	control	r2	Slide 2	sample_control_r2_s2
