Lcp1
Coro1a
Hmgb2
Lcp1;Pls3
Fbln1
Myh13;Myh4
Fga
Chil3
S100a4
Serpine1
Capg
S100a9
Actb;Actg1
G6pdx
Reln
Myh7
Myh1;Myh2;Myh4;Myh7;Myh8
Myh4;Myh7
Cyria;Cyrib
Arpc5
Ltf
Anxa1
Arpc1b
Fn1
Thbd
Fgb
Fgg
Myh2;Myh7
Myh3;Myh7
Tkt
Msn
Cap1
Flna;Flnb;Flnc
Thbs1
Npm1
F13a1
Tns1
Gda
Rbm3
Actr2
Glipr2
Hnrnpf
Ncl
Cygb
Spon1
Cd44
Lcp1;Pls1;Pls3
Hspa1a;Hspa1b;Hspa1l
Mybbp1a
Arpc1a;Arpc1b
Cfl1
Mmp9
Ddx39a
Mff
Arhgdib
Klhl40
Prg4
Actb;Actbl2;Actg1
Hspa1a;Hspa1b;Hspa1l;Hspa2
Ifi204;Ifi207;Mnda
Cemip;Cemip2
Ngp
Lyz2
Itgb2
Lsp1
Rac2
Ptpn6
Fcer1g
Fmnl1;Fmnl2
Cd74
Elane
Mpo
Camp
Rcc2
Ncf1
